puuid,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
UcFfT_i5gxWWRGKflWIZK90HYubGVZxIK9YLfEt-TP1R7O0DRflXAYomzMl_j9qCbXDkklX1D5Q8kw,1050.0,I,68.0,70.0,False,False,True,False
VkHAHUPWsIkvdoMqaNjvKa4hQ1nr9llzgYKgoqUB2sCKrGRsBigeZW7obm4EOmNPqCyTEklBpJ-_pw,1047.0,I,106.0,67.0,False,False,True,False
hoi2jbBAx4CFmWfNNmisor4Ja9RySpeJgRBKlVjtif5Z7iCaGT1InkuhHer-Ly0XTnJtLhQqtnuhWQ,1047.0,I,78.0,47.0,False,False,False,False
L_WRa7RTAFV9SI_U7ZXEf6YvAq9oHZsn9GaQKJn7xvG-zaK6_xy_f47D1aiy8sxwUXICVQktbcCbsA,1047.0,I,72.0,48.0,False,False,True,False
59_N6l3FG-OCYycmxaMqJ5GAK-BlvnbZS_B1qaO-M38c2OP3CIxLTuH53keCFibVjqYWPQWbu3GI0Q,1044.0,I,81.0,53.0,False,False,True,False
4fmcjfKPIT3vcYTIP3-rpPTYWg25545VrLiVkMyQddmVMy-OzjmscITNgODY2cXvEBetQUtAsmOWDQ,1043.0,I,97.0,82.0,False,False,False,False
041K3icNKcTagTOWU9CxoKbD3IZE4iJ9akizazKwlB04aXRHnsHpu7ZjUJMLymtob3-QxJbQvTmiGw,1040.0,I,73.0,44.0,False,False,True,False
lWSzRGUR-B-vjxqgdk8-84oR2kk_NqAgm5NrFrR9fhkzOO1muhqIlwpDpKF3IGw1mZkeJfuo8yk_Dw,1039.0,I,112.0,95.0,False,False,True,True
3uXcpSOJ7o1gcPQ55kbsYiFDu-dXZj2wzgpYrMVaJM6pUP2JikZOfaV4xblHFsbYlpPTih_8KCotCw,1039.0,I,86.0,55.0,False,False,True,False
F6sH4os--ikMm-KlgWF07CrFUJFnGSIfzK4CM-etAAlFlcFvsvOQadYlxK4YHbDjSu6wVKsQiUYSow,1039.0,I,75.0,36.0,False,False,True,True
CFoFCKdQy0a2mbmXBndJZDQ_A7X9eWwL7hI1Wbu9aDYz2xancfGXCPRh3UHymdJPFUAUdgBLVwsM9A,1038.0,I,86.0,66.0,False,False,True,False
u0ZMw2pSSKCVqoTHDhzjJzPBwtMFXcRmTrwi8d-eYxUOvJEqQ8RZExZCyEkzylnOzJl_A1Xv72IUAA,1037.0,I,84.0,69.0,False,False,True,True
sYVoUP3GFp1ibiJc0Fw69IhpAnrt0pEcvxQ-38YhlNRgZBpavuoeXjuy-TFhdXo_NLm23vYGe5pfVw,1035.0,I,75.0,50.0,False,False,True,True
nh9JW-RVhqoS8SIlK_3ePsY18PqC4EK4gHAcwC8j7udmoc6v-RBNafztX6gf1ZXWSo-w-373MewE2Q,1034.0,I,99.0,71.0,False,False,True,False
sBJokA7LIcYOaRBze75Uzyw40PsAdtdU9NwTJQmgQ2uz-btWoUQORIiYYqECMZuPfXxKt__O3i8KAw,1033.0,I,108.0,81.0,False,False,False,False
n4Dyye_WLt9ledviRyU04wieZlvSEmknlzgt4d5uN1SmErOOmu422C9GRC5XXlYoXuZhW46nmBvbew,1033.0,I,104.0,76.0,False,False,False,False
7R06kePxK-BRWj7geG5Hl8vcXrSWqVxdQiUEz49rc5q9szV7aUNUKaXJK-7W03zcSdEJm9pHzvLH8g,1033.0,I,70.0,38.0,False,False,True,False
JjQf-kJgsSswpY4fYSaR2ztPq_0QCR2wO9vjC7DFOTHQJonkHi8W-jFaeHOvrPQvP_HefdXuSiE2ww,1032.0,I,94.0,75.0,False,False,True,False
Y1CWBx3iEUsvT4BNc4voE2_PfpXRpoBtjKjuH_3v5DNmO7pTdW8uUeX8nmeFGSIpQP89wRL50M5hxA,1031.0,I,106.0,93.0,False,False,True,False
G49wSVh7auH06erlk_yIQw3oZHxoUg7ep0OGUDVXRGSBwNI_8qFez36TvLwvvvMaTnep75mzb3ps_A,1031.0,I,97.0,65.0,False,False,False,False
oQ8va22iGR37Z5J3qDHl0GaueeOh2JHcAsO739uLn3PhiQNVSWnuUHlbSNH65t4t6LeO-M4cam4UgA,1029.0,I,92.0,73.0,False,False,False,True
pGspAryoODB2VNBazPBCabKGG2WfcfZzFeBHw8w-jZnQgazFet65MQNaa_cZDhxod69G4M9fIvDYBQ,1029.0,I,80.0,67.0,False,False,True,False
DI-ouN54LM0lfAt8XPXVAXXPpNo_n7gfNpWZybz4oA4ZrinhyThxWnie0ZchbS7T9JEJH_10GJDBMQ,1027.0,I,96.0,75.0,False,False,True,True
